node_id,type,threshold,leak_factor,reset_potential,resting_potential,refractory_period
20,output,20,4,-9,-1,2
21,output,11,3,-5,-2,2
22,output,31,3,-5,-1,2
23,output,23,2,-8,-1,2
24,output,31,2,-4,4,2
25,output,20,3,-5,-2,2
26,output,20,3,-5,0,2
27,output,20,3,-5,-3,2
28,output,29,4,-5,4,2
29,hidden,20,3,0,0,2
30,hidden,20,3,-2,-7,2
31,hidden,20,3,-8,0,2
32,hidden,20,3,-9,2,2
33,hidden,30,3,-8,3,2
34,hidden,30,3,-5,0,2
35,hidden,20,3,-5,-4,2
36,hidden,20,2,-5,0,2
37,hidden,20,3,-7,0,2
38,hidden,20,3,-6,0,2
39,hidden,20,3,-5,3,2
40,hidden,18,3,-5,0,2
41,hidden,19,3,3,0,2
42,hidden,20,3,-6,3,2
43,hidden,11,3,-5,0,2
44,hidden,20,3,-5,-5,2
45,hidden,20,3,-5,0,2
46,hidden,20,3,-5,0,2
47,hidden,20,3,-5,0,2
48,hidden,20,3,-5,1,2
49,hidden,38,4,-5,3,2
50,hidden,20,3,-5,2,2
51,hidden,13,3,-5,0,2
52,hidden,19,3,-5,9,2
53,hidden,28,3,-10,0,2
54,hidden,20,4,-5,0,2
55,hidden,20,3,-5,2,2
56,hidden,20,3,-5,-3,2
57,hidden,12,3,-5,0,2
58,hidden,16,3,2,-4,2
59,hidden,19,3,-5,0,2
60,hidden,20,3,-5,0,2
61,hidden,15,2,-5,0,2
62,hidden,20,3,-8,0,2
63,hidden,20,3,-5,0,2
64,hidden,20,3,-3,0,2
65,hidden,7,4,-6,7,2
66,hidden,19,3,-5,2,2
67,hidden,22,3,-5,0,2
68,hidden,20,3,-5,-3,2
69,hidden,20,3,-6,3,2
70,hidden,20,5,-5,0,2
71,hidden,22,3,-2,0,2
72,hidden,20,3,-4,-4,2
73,hidden,19,3,-5,0,2
74,hidden,22,4,-5,0,2
75,hidden,19,3,-5,0,2
76,hidden,20,2,-5,0,2
77,hidden,20,3,-5,0,2
78,hidden,19,3,-9,0,2
79,hidden,20,3,-5,0,2
80,hidden,20,3,-5,0,2
81,hidden,22,3,-4,0,2
82,hidden,19,3,-5,0,2
83,hidden,20,4,-5,0,2
84,hidden,20,3,-5,-3,2
85,hidden,20,3,-5,0,2
86,hidden,20,3,-5,-4,2
87,hidden,22,3,-5,0,2
88,hidden,19,3,-9,0,2
89,hidden,19,3,-5,3,2
90,hidden,20,3,-5,0,2
91,hidden,20,3,-5,0,2
