source_node,target_node,weight
7,28,-84
6,21,77
9,20,101
15,29,-15
7,30,-65
30,25,-78
2,31,63
31,27,45
16,32,-33
32,20,126
18,22,-42
25,20,94
1,27,-18
6,27,108
33,26,14
34,24,17
17,34,83
34,25,-98
17,34,87
34,25,-89
17,34,-26
2,34,57
34,26,-18
12,34,-3
11,33,21
33,20,33
35,22,-59
16,33,-60
1,23,10
19,21,-39
15,29,-29
12,36,82
36,28,50
19,37,63
9,38,-118
38,27,-42
3,39,108
15,39,-15
7,39,-65
39,25,-66
5,39,-115
39,25,120
25,39,-124
1,39,85
11,39,102
39,24,-89
15,36,-17
36,27,64
33,36,36
32,26,43
32,20,33
3,39,21
39,25,-42
7,39,65
39,22,14
39,25,-61
39,22,27
7,39,56
39,22,52
0,39,-64
0,29,-21
29,20,-116
32,20,-25
3,34,-100
15,38,-27
39,29,86
32,21,-106
13,40,-111
40,23,-88
34,31,-31
2,41,74
41,27,45
26,41,-12
19,41,73
41,27,127
18,41,100
37,29,50
36,27,34
38,23,-127
43,25,-72
15,44,-26
15,44,-30
0,44,-11
44,20,-125
23,23,20
15,45,-87
45,23,-1
6,46,-42
46,20,9
3,47,108
15,47,4
7,47,-55
47,25,-66
5,47,-118
47,25,125
25,47,-124
1,47,85
11,47,102
47,24,-89
3,47,21
47,25,-32
7,47,78
47,22,14
47,25,-51
47,22,27
47,25,-61
7,47,56
47,22,47
0,47,-64
12,45,-127
45,22,43
45,28,25
45,25,110
19,45,-36
45,20,76
45,27,-49
15,45,-15
45,21,116
6,45,44
45,21,113
6,45,57
12,45,38
16,45,-112
1,45,8
45,25,-58
7,45,66
45,22,47
11,45,82
14,45,116
3,45,21
7,45,79
45,22,14
45,25,-61
45,22,47
45,25,-61
7,45,61
3,45,32
45,25,-42
45,22,14
45,25,-70
45,22,47
45,25,-61
45,22,68
45,25,68
3,45,27
45,25,-42
7,45,73
45,22,27
17,45,-57
45,25,-76
45,22,47
45,27,41
3,45,108
15,45,-15
7,45,-65
25,45,-124
1,45,76
11,45,109
45,24,-105
3,45,12
45,25,-37
45,22,14
45,25,-57
45,22,26
45,25,-61
7,45,28
45,22,47
0,45,-64
0,48,-21
48,20,-125
19,49,88
49,22,-103
2,49,-84
16,50,-32
50,20,126
50,26,32
50,20,-28
50,21,-112
12,51,82
51,28,50
15,51,-17
51,27,64
15,51,100
9,52,-118
52,27,-42
15,52,-15
15,52,-30
15,53,-92
53,25,-72
15,54,-110
54,25,-72
19,37,87
55,24,12
17,55,66
55,25,-89
17,55,87
55,25,-27
2,55,57
55,26,-7
12,55,-3
3,55,-100
18,30,18
30,22,-48
28,30,1
6,30,-37
22,30,-3
3,30,116
20,30,41
56,28,25
56,25,110
56,20,91
56,27,-43
56,21,116
6,56,44
15,56,-15
56,21,113
6,56,41
56,22,-63
12,56,25
16,56,-97
56,28,-117
1,56,23
56,25,-67
56,22,47
14,56,102
56,28,44
27,56,-16
3,56,21
56,22,14
56,25,-61
56,22,47
56,25,-61
7,56,41
56,22,47
3,56,28
56,25,-42
7,56,65
56,22,3
56,22,52
56,25,-45
7,56,41
56,22,47
18,56,-105
56,25,51
2,56,74
56,27,23
56,26,32
56,20,33
15,56,-15
15,56,-30
0,56,-21
56,20,-110
17,53,-120
30,28,26
30,25,127
19,30,-50
30,20,91
