Neuromorphic SCA: EONS Training
Loading dataset from ../ATMEGA-AES-ASCAD_databases/ascad_modulated.h5...
Dataset loaded! Traces: 6000, Length: 700
Initializing engine...

>>> SUCCESS: 4 checkpoints found! Injecting seeds...

Generation 0 | Best Fitness: 0.493229 | Neurons (hidden): 17 | Synapses: 28
Generation 1 | Best Fitness: 0.493229 | Neurons (hidden): 17 | Synapses: 28
Generation 2 | Best Fitness: 0.493229 | Neurons (hidden): 17 | Synapses: 28
Generation 3 | Best Fitness: 0.493229 | Neurons (hidden): 17 | Synapses: 28
Generation 4 | Best Fitness: 0.493229 | Neurons (hidden): 17 | Synapses: 28
Generation 5 | Best Fitness: 0.493229 | Neurons (hidden): 17 | Synapses: 28
Generation 6 | Best Fitness: 0.493229 | Neurons (hidden): 17 | Synapses: 28
Generation 7 | Best Fitness: 0.493229 | Neurons (hidden): 17 | Synapses: 28
Generation 8 | Best Fitness: 0.493315 | Neurons (hidden): 20 | Synapses: 31
Generation 9 | Best Fitness: 0.493315 | Neurons (hidden): 20 | Synapses: 31
Generation 10 | Best Fitness: 0.493498 | Neurons (hidden): 13 | Synapses: 30
Generation 11 | Best Fitness: 0.493498 | Neurons (hidden): 13 | Synapses: 30
Generation 12 | Best Fitness: 0.493498 | Neurons (hidden): 13 | Synapses: 30
Generation 13 | Best Fitness: 0.493498 | Neurons (hidden): 13 | Synapses: 30
Generation 14 | Best Fitness: 0.493498 | Neurons (hidden): 13 | Synapses: 30
Generation 15 | Best Fitness: 0.493498 | Neurons (hidden): 13 | Synapses: 30
Generation 16 | Best Fitness: 0.493498 | Neurons (hidden): 13 | Synapses: 30
Generation 17 | Best Fitness: 0.494186 | Neurons (hidden): 15 | Synapses: 29
Generation 18 | Best Fitness: 0.494186 | Neurons (hidden): 15 | Synapses: 29
Generation 19 | Best Fitness: 0.494186 | Neurons (hidden): 15 | Synapses: 29
Generation 20 | Best Fitness: 0.494186 | Neurons (hidden): 15 | Synapses: 29
Generation 21 | Best Fitness: 0.494186 | Neurons (hidden): 15 | Synapses: 29
Generation 22 | Best Fitness: 0.494186 | Neurons (hidden): 15 | Synapses: 29
Generation 23 | Best Fitness: 0.494186 | Neurons (hidden): 15 | Synapses: 29
Generation 24 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 25 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 26 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 27 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 28 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 29 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 30 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Exported network: 35 neurons -> network-csvs/seed_1_neurons.csv, 40 synapses -> network-csvs/seed_1_synapses.csv
  [!] Checkpoint saved/overwritten successfully: network-csvs/seed_1
Generation 31 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 32 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 33 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 34 | Best Fitness: 0.509883 | Neurons (hidden): 26 | Synapses: 40
Generation 35 | Best Fitness: 0.509891 | Neurons (hidden): 26 | Synapses: 42
Generation 36 | Best Fitness: 0.509891 | Neurons (hidden): 26 | Synapses: 42
